DB03843	[H]C([H])=O
DB04416	[H][C@](CC#CCOC)(NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(OC)C=C1)C(O)=O
DB04417	OC1=CC=C(C=C1)[N+]([O-])=O
DB04418	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12
DB04419	CCCC[C@@H](N)C(O)=O
DB04422	N[C@@H](CCS)C(O)=O
DB04424	COC(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)[C@@H](C)NC(=O)C1=CC=C(C=C1)C1=CC=CC(CN)=C1
DB04425	NC1=NC2=C(N=C(CN2)[C@H](O)[C@H](O)CO)C(=O)N1
DB04426	[H][C@]1(CO)O[C@@]([H])(OC)[C@]([H])(NC(C)=O)[C@@]([H])(O)[C@]1([H])O
DB04427	[H]N(OCC1=CC=CC=C1)S(=O)(=O)CC[C@H](CCC1=CC=CC=C1)N([H])C(=O)[C@H](CC1=CC=CC=C1)N([H])C(=O)N1CCN(C)CC1
DB04429	OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=CC=CC=C2O1
DB04430	N#C\C(=C\NC1=CC=C(NC2=CC=CC=C2)C=C1)C1=NNN=N1
DB04432	CC1=C(F)C(OC2=CC(=CC=C2)C(N)=N)=[NH+]C(OC2=CC=CC(=C2)C(N)=N)=C1F
DB04433	[H][C@@]12CCCN1C(=O)[C@H](CCCNC(N)=N)NC2=O
DB04434	CC1=CC=CC(=N1)C1=C(CNN1)C1=CC=C2N=CC=CC2=N1
DB04436	N[C@@H](CC1=CC(F)=C(O)C=C1)C(O)=O
DB04438	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(\C=C\Br)C(=O)NC1=O
DB04439	[H][C@]1(C)O[C@]([H])(O[C@]2([H])C(CO)=C[C@]([H])(N[C@]3([H])[C@@]([H])(C)O[C@]([H])(O[C@]4([H])[C@@]([H])(CO)O[C@]([H])(O[C@]5([H])[C@@]([H])(CO)O[C@]([H])(O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB04440	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=CN=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04441	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)N=C(F)N=C23)[C@]([H])(O)[C@]1([H])O
DB04442	NC(=[NH2+])C1=CC2=C(NC(=N2)C2=CC=CNC2=O)C=C1
DB04444	F[Al-](F)(F)F
DB04445	I[Hg]I
DB04446	NC(=[NH2+])C1=CC2=C(S1)C=CC=C2
DB04447	O[C@@H](CS)[C@@H](O)CS
DB04448	OCC1=CC=C(F)C=C1F
DB04450	[H][C@]1(CO)O[C@@]([H])(SCCCCCCC)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB04451	CN1CCN(CC1)C(O)=O
DB04452	CC1=NC2=CC=C(NC(=O)NC3=CC4=C(C=C3)N=C(C)C=C4N)C=C2C(N)=C1
DB04454	CC[C@@H](N)C(O)=O
DB04455	C[N+](C)(C)CC(O)=O
DB04456	O[As](O)O
DB04457	NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
DB04459	ClC1=C(Cl)C2=CC=CC=C2C(=O)O1
DB04460	[H]N1C(=O)N(CCC[C@H](N(O)CO)C(O)=O)C(=O)[C@]11O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB04461	CC1=C2CC3=C(C)C(CCC(O)=O)=C(CC4=C(CCC(O)=O)C(C)=C(CC5=C(CCC(O)=O)C(C)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3
DB04462	[H]N1N=C2C(=N1)C(Br)=C(Br)C(Br)=C2Br
DB04464	[H]C(=O)N[C@@H](CCSC)C(O)=O
DB04465	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
DB04466	CCOP(=O)(OCC)C(=CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)P(=O)(OCC)OCC
DB04467	[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O
DB04468	CC\C(=C(/C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
DB04469	CCOC(=O)C1=C(C)N(N=C1C)C1=CC=C(OC)C=C1
DB04470	CC(C)COC1=CC=CC(C2=NC3=C(N2)C=CC(=C3)C(N)=[NH2+])=C1[O-]
DB04471	OC1=CC=C2[C@H](N(CCC2=C1)C1=CC=CC=C1)C1=CC=C(OCCN2CCCCC2)C=C1
DB04472	[H][C@](O)(CN=[N+]=[N-])C1=CC=C(C=C1)[N+]([O-])=O
DB04473	C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
DB04476	NC(=O)C1=CC=CC(O)=C1O
DB04477	[H]N([C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N=CN=C12)N([H])[C@@H]1CCCC2=CC=CC=C12)C(=O)C1=CC(OC)=CC(OC)=C1
DB04478	CN(C)S(=O)(=O)N1CCN(CC1)C1=CC=NC(CO)=N1
DB04480	CC1=NC(=CC=C1)C1=NN2CCCC2=C1C1=CC=C(F)C=C1
DB04481	OC[C@H](O)[C@H](O)CO
DB04482	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)O[C@]2(C[C@@H](O)[C@@H](O)[C@H](O2)[C@H](O)CO)C(O)=O)[C@@H](O)[C@H]1O
DB04483	OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O
DB04485	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
DB04487	CN[C@H](CC(C)C)C(O)=O
DB04488	[H][C@]12SC[C@@H](COC(C)=O)[C@H](N1C(=O)[C@H]2\N=C(/[O-])CCCC[C@H](NC(=O)CN)C(O)=O)C(O)=O
DB04489	[H]N([H])C(=NCCS[C@@H](CC(O)=O)C(O)=O)N([H])[H]
DB04490	SCC1=CC=CN=C1
DB04491	CC(C)OP(=O)OC(C)C
DB04492	[H]N([C@H]1[C@@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O)C(C)=O
DB04493	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
DB04494	O[Mo+6](O)=O
DB04495	CC(=O)N[C@@H](CC1=CC=C(OP(O)(O)=O)C=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
DB04496	[H]N(O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O
DB04498	[H][C@@](N)(CC=O)C(O)=O
DB04499	C1O[C@@H]1C1=CC=CC=C1
DB04501	[H][C@]12CC[C@](C)(CC1)C2(C)C
DB04502	O=C(N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC1=CC=CC=C1)CCS(=O)(=O)OC1=CC=CC=C1)OCC1=CC=CC=C1
DB04503	[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)S(=O)(=O)N1CCC[C@]1([H])C(O)=O)C(O)=O
DB04505	COC1=C(OC)C(OC)=C(Cl)C(CC2=NC3=C(N)N=CN=C3N2CCCC#C)=C1
DB04508	[H][C@@]1(O)[C@@]([H])(O)[C@]([H])(OC)O[C@]([H])(C=S)[C@]1([H])O
DB04510	O[C@H](COP(O)(O)=O)C(O)=O
DB04511	[H][C@](CCSC)(NC(=O)CCC(O)=O)C(O)=O
DB04512	COC1=C(CC(C)C)N=CC=N1
DB04513	NCCCCCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2Cl
DB04514	[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](COP(O)(=O)O[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2N2C=CC(=O)N([H])C2=O)[C@@H](O)[C@H]1O
DB04515	CO[C@@H]1[C@H](O)O[C@@H](C)[C@@H](O)[C@H]1O
DB04516	[H][C@@](O)(CCO)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O
DB04517	CC1=C(CC(O)=O)C(CCC(O)=O)=C(CC2=C(CC(O)=O)C(CCC(O)=O)=CN2)N1
DB04518	CC1=NC(C)=C(S1)C1=NC(NC2=CC=CC(O)=C2)=NC=C1
DB04519	CCCCCCCC(O)=O
DB04520	[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC2=O
DB04521	[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS[C@@]1([H])C[C@H](O)O[C@@H]1CCCCC)C(=O)N([H])CC(O)=O)C(O)=O
DB04522	N[C@@H](COP(O)(O)=O)C(O)=O
DB04523	[H][C@@](NC(=O)OC(C)(C)C)(C=O)C1CCCCC1
DB04524	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
DB04525	CCCCCNC(=O)[C@H](CC1=CC=C(OCC(O)=O)C(=C1)C(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CCC(O)=O
DB04526	[H][C@](O)(CO)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB04527	N[C@@H]([C@H](O)C(N)=O)C(O)=O
DB04528	OC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O
DB04529	CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2
DB04530	N[C@@H](CSSCCO)C(O)=O
DB04531	N[C@@H](CSCC1=CC=CC=C1)C(O)=O
DB04532	N1C=CC2=C1C=CC=C2
DB04533	CC1=CC=C(O)C(N)=C1
DB04534	[O-][N+](=O)C1=CC=C2NN=CC2=C1
DB04537	N[C@@H](CC1=CNC2=C1C=CC=C2)C(N)=O
DB04538	C[C@@H]([C@H](N)C(O)=O)C(O)=O
DB04540	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
DB04541	[H][C@@]12CCCN1C(=O)CNC2=O
DB04542	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
DB04543	NC1=NC2=C(C=C(N)C=C2CSC2=NC=CN2)C(=O)N1
DB04544	[H]N([H])C(=O)[C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)N([H])C(C)=O
DB04545	OC[C@H]1CNC[C@@H](O)[C@@H]1O
DB04546	NC1=NC=CC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB04547	CNC(=O)[C@@H](NC(=O)[C@H](OCC1=CC=C(C=C1)C1=CSC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=C(C=C1)C1=CSC=C1)C(=O)N[C@@H](C(C)C)C(=O)NC)C(C)C
DB04548	O[C@H]1C[C@H](O[C@@H](O)[C@@H]1O)C(O)=O
DB04549	NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=C(F)C(F)=C(F)C=C1
DB04551	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
DB04553	CCC(=O)C(O)=O
DB04554	[H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04555	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB04556	C[C@H](N(C)C)C1=CC(O)=CC=C1
DB04559	N\C(NO)=N/C1=CC=C(Cl)C=C1
DB04560	OC(=O)CCC(=O)CCC(=O)CCC(O)=O
DB04561	[H][C@]1(O[C@H](C[C@H](O)[C@H]1NC(C)=O)P(O)(O)=O)[C@H](O)[C@H](O)CO
DB04562	OC(=O)CC(CC(O)=O)C(O)=O
DB04563	NC(=N)C1=CC2=C(NC(=C2)C2=C(O)C(Br)=CC(CC([O-])=O)=C2)C=C1
DB04564	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
DB04565	CC(=O)NC1=CC=C(C=C1NC(=O)CO)C(O)=O
DB04566	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
DB04568	[H][C@]1(CO)O[C@@]([H])(N2C=NC=C2N)[C@]([H])(O)[C@]1([H])O
DB04569	O=COCC1=CC=CC=C1
DB04570	[H][C@]12OCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C(C(O)=O)C1=CC=C(O)C=C1)OC)C(O)=O
DB04573	[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DB04575	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3
DB04576	CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O
DB04577	NCC1(CCCC1)C1=CC=CC=C1
DB04578	[H][C@](N)(CC(=O)N1CC2=CC=CC=C2C[C@@]1([H])C(N)=O)CC1=CC=CC=C1F
DB04579	CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)CC)C(O)=O
DB04580	CN1C(=O)C=CC2=CC=CC=C12
DB04581	C(N1C=CN=C1)C1=CC=CC=C1
DB04583	NC(=O)C1=CC(=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O
DB04585	N[C@@H](CC\C=C\[B-](O)(O)O)C(O)=O
DB04586	OC1=CC=CC=C1Br
DB04588	NS(=O)(=O)C1=CC=C(CNC(=O)C2=C(NN=C2)C2=CC(Cl)=C(O)C=C2O)C=C1
DB04590	CCOC1=CC([C@@H](NC2=CC=C(C=C2)C(N)=N)C(O)=O)=C(F)C(O[C@@H]2CCOC2)=C1
DB04591	[H][C@@]1(CCCCN1)C(F)(F)CNC1=NC=CC2=C1N=C(CC1=CC=CC=C1N1C=NC=N1)O2
DB04592	OCCC(Br)=C
DB04593	CC[C@@H](C)[C@@H](NS(=O)(=O)CC1=CC(=CC=C1)C(O)=O)C(=O)N[C@@H](CCC(N)=N)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB04594	OC(CC(O)=O)CC(O)=O
DB04596	[H][C@@]12CO[C@@](C)(O[C@@]1([H])[C@H](O)[C@H](O)[C@H](O[C@H]1[C@H](O)[C@@H](O)C(O)O[C@@H]1C(O)=O)O2)C(O)=O
DB04597	C[C@@]1(OC[C@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O1)C(O)=O
DB04598	NC1=C(C=CC(Cl)=C1O)C(O)=O
DB04599	COC1=CC=C(C=C1)C(=O)N1CCCC1=O
DB04600	NS(=O)(=O)OC1=CC=C(CN(N2C=NN=C2)C2=CC=C(C=C2)C#N)C=C1Br
DB04601	NS(=O)(=O)OC1=CC=C(CN(N2C=NN=C2)C2=CC=C(C=C2)C#N)C=C1
DB04602	CN(C)C1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](N)[C@H]1O
DB04604	[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB04605	NC1=CC=CC2=C1C=CN=C2
DB04606	CCCOC1=CC2=C(NC=C2C[C@@H](NS(=O)(=O)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC2=CC=C(C=C2)C(N)=N)C=C1
DB04607	NS(=O)(=O)C1=CC=C(NC2=CN3C=C(C=CC3=N2)C(=O)C2=C(Cl)C=CC=C2Cl)C=C1
DB04608	OC1=CC2=C(NC3=CC(=C4C(=O)NC(=O)C4=C23)C2=CC=CC=C2)C=C1
DB04609	O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2CC2)[C@@H]1CC1=CC=CC=C1
DB04610	C[C@@]1(CCC2=CC=CC=C2)NC2=C(N=C1CO)C(=O)NC(N)=N2
DB04612	CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C12)OC1=CC=CC=C1)C(C)(C)C
DB04614	O=C1NC2=C(C=C1)[C@@H](CCC2)NCCCCCCCCCCNC1=C2CCCCC2=NC2=CC=CC=C12
DB04615	O=C1NC2=C(C=C1)[C@H](CCC2)NCCCCCCCCCCNC1=C2CCCCC2=NC2=CC=CC=C12
DB04616	C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12
DB04617	[NH3+]CCCCCCCCNC1=C2CCCCC2=[NH+]C2=CC=CC=C12
DB04618	C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
DB04619	CC(=O)C1=CC=CC=C1
DB04620	NC1(CCCC1)C(O)=O
DB04622	CC(=O)NCCC1=CNC=N1
DB04623	CCOCCOC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C[C@]1(CC2=CC=CC=C2)NC=C([C@@H]2[C@@H]3OC(=O)N[C@@H]3C3=CC=CC=C23)C1=O
DB04624	[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O
DB04627	OC[C@H]1O[C@@H]2[C@@H](OC3=NC(=O)C=CN23)[C@@H]1O
DB04628	CN(C)C1=N[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4NC(C)=O)[C@@H](O)[C@H]3NC(C)=O)[C@@H](CO)[C@@H]2O1
DB04629	COC[C@H](N(C)C)C(=O)O[C@@H]1C\C=C\C=C\C(=O)O[C@@H](C\C=C\[C@H](OC)C[C@H](C)C\C=C(C)\[C@@H](OC)CC[C@@H](C)[C@@H](O)[C@@H]1C)[C@@H](C)[C@@H](O)[C@@H](C)CC[C@@H](OC(=O)[C@H](C)N(C)C)[C@H](C)[C@H](OC(C)=O)[C@H](C)\C=C\N(C)C=O
DB04631	[H][C@](C)(C[C@]([H])(C)[C@@]([H])(Cl)CCl)C(=O)C1=C(O)C(OC)=C(NC1=O)OC
DB04632	OC1=C(CNC2CCN(CC2)S(=O)(=O)NC2=CC(OC3=CC=C(F)C=C3)=CC=C2)C=CC=C1
DB04633	CCCNCCCNCCCNCC
DB04634	[H][C@@](C)(NC(=O)OCC1=CC=CC=C1)C(O)=O
DB04636	CC(C)(C)OC(=O)[C@@H](N)CCC(N)=O
DB04637	OCCCCCCBr
DB04638	CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
DB04639	[H][C@](N)(CC1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O
DB04640	OS(=O)(=O)C1=CC2=CC=C(C=C2C=C1)S(O)(=O)=O
DB04641	OC(=O)C1=C(O)C=C2C=CC(O)=CC2=C1
DB04642	OC(=O)CCCCCCOC1=C(Cl)C=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1Cl
DB04643	OC(=O)CCCOC1=CC=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1
DB04644	CC1=C(C)C(OCCCC(O)=O)=CC=C1NC(=O)NC(=O)C1=CC=C(Cl)C=C1Cl
DB04645	CC1=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C=CC=C1OCCCCC(O)=O
DB04646	CC(C)C1=C(Br)C(=O)C(C)=C(Br)C1=O
DB04647	C[C@@H](NC(=O)[C@H](CCCCNC(=O)OCC1=CC=CC=C1)NC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(O)=O)B(O)O
DB04648	NCCCSC[C@H](N)CO
DB04649	CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(O)=O)N1C=C[C@@](N)(O)NC1=O)C(N)=N
DB04650	[H][C@]12CS[C@]([H])(CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB04651	NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)OCCCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)[C@@H](O)[C@H]3O)C2=NC=N1
DB04653	[H]N([C@@H](CC(C)C)C(=O)N([H])[C@@H](CC(C)C)C(=O)N([H])[C@@H](CC1=CC=C(O)C=C1)C(=O)CF)C(=O)OCC1=CC=CC=C1
DB04654	O=CCCCC1CCNCC1
DB04655	CC1=C(C(N)=NC(N)=N1)C1=CC(Cl)=C(Cl)C=C1
DB04656	[H][C@@]1(O)C[C@@](O)(C[C@]([H])(CCCOC2=CC=CC=C2)[C@@]1([H])O)C(O)=O
DB04657	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
DB04658	[H][C@]12CC[C@](O)(N1)[C@@H](O)[C@H](O)[C@H]2O
DB04659	OC[C@H]1C[C@@H](S\C(=N/OS(O)(=O)=O)CC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O
DB04660	[H][C@@](O)(CO)COP([O-])(=O)OCC[N+](C)(C)C
DB04661	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(O)(=O)=O)[C@H]1O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
DB04662	[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(NCC2=CC=CC=C2O)=N1
DB04664	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCC3CCCCC3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
DB04669	BrC1=CC=CC(=C1)C1=NC2=[N+](NC=N2)C(NCC2=CC=NC=C2)=C1
DB04671	N[C@@H](CS\C(N)=N\CCC[C@H]([NH3+])C(O)=O)C(O)=O
DB04672	[H][C@]1(COP(O)(O)=O)O[C@]([H])(C=C1)N1C=C(C)C(=O)NC1=O
DB04673	[H][C@@]1(CC(C)C)CN(CCN1C(=O)C1=NC=C(C=N1)C1=CC=NC=C1)S(=O)(=O)C1=CC2=CC(Cl)=CC=C2N1
DB04676	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCC[C@H](N)C(O)=O
DB04677	[H][C@@](C)(CC1=CC=CC=C1)N(C)CC=C
DB04678	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@H](O)O[C@@H]2CO)[C@@H](O)[C@H](O)[C@@H]1O
DB04679	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](O)[C@@H]2NC(C)=O)[C@@H](O)[C@H](O)[C@@H]1O
DB04680	[H][C@]1(O)[C@@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OCCCCCCCCC(=O)OC)[C@]1([H])O
DB04681	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
DB04682	CC(C)(C)CC(C)(C)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1
DB04683	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](CO[P@](O)(=O)OC[C@H](O)CO)OC(=O)CCCCCCC\C=C/CCCCCC
DB04685	[H][C@]1(F)C[C@@]([H])(O[C@]1([H])COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)N1C=CC(=O)NC1=O
DB04687	COP(O)(=S)OC
DB04688	[H][C@@]12CC[C@@]([H])(N1C)[C@@]([H])(C(=O)OC)[C@@]([H])(O)C2
DB04689	CCCC1=C(OCCCOC2=CC3=C(C=C2)N(CC(O)=O)C=C3)C=CC2=C1C=CC(=C2)C(=O)C1=CC=CC=C1
DB04693	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12[H]
DB04695	[H]\C(CC\C(C)=C(/[H])CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C
DB04696	OC1=C(Br)C=C(C=C1)C1(OC(=O)C2=C3C(C=CC=C13)=C(Cl)C=C2)C1=CC(Br)=C(O)C=C1
DB04697	NC(N)=NCCCC[C@H](NC(=O)[C@@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H]1CCN1C(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CC[C@H](CN=C(N)N)CC1)C(N)=O
DB04698	[H]N(C1=NN([H])N=N1)S(=O)(=O)C1=CC2=C(OC3=CC=CC=C3C2=O)C=C1
DB04699	O=C1CCCO1
DB04700	N[C@@H](CCC(=O)N[C@@H](C[S@](O)=O)C(=O)NCC(O)=O)C(O)=O
DB04701	CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
DB04702	[H]\C(CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C
DB04703	COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O
DB04707	O=C1NC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1
DB04709	[H][C@]12C(=O)N(C(=O)[C@@]1([H])[C@]1([H])CC[C@@]2([H])CC1)C1=CC=C(C2=CC=CC=C12)[N+]([O-])=O
DB04713	[H][C@@](N)(CC1=CC=C(I)C=C1)C(O)=O
DB04714	CC(=C)CCO[P@](O)(=O)OP(O)(O)=O
DB04715	CC(=O)C1=CC=CC(=C1)C1=CN=C2C=CC(NCC3CC3)=NN12
DB04716	CC(C)(C)C1=NC2=C3C=CNC(=O)C3=C3C=C(F)C=CC3=C2N1
DB04719	CN(C)C1=NC2=C(Br)C(Br)=C(Br)C(Br)=C2N1
DB04720	CSC1=NC2=C(N1)C(Br)=C(Br)C(Br)=C2Br
DB04721	CN1CCN2C1=NC1=C(Br)C(Br)=C(Br)C(Br)=C21
