DB02570	[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O
DB03159	NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(=C1[O-])C1=CC=CC=C1
DB03160	[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(=O)CCCCCC(O)=O
DB03161	[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1
DB03162	OC(=O)C1=NSN=C1O
DB03163	CC(=O)CSCCS(O)(=O)=O
DB03164	[H]N([H])C1=[N+](C)C=NC2=C1N([H])C=N2
DB03165	CN(C)CCO[P@](O)(=O)OP(O)(O)=O
DB03169	[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O
DB03170	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS
DB03171	OP(O)(=O)OCCCC1=CNC2=C1C=CC=C2
DB03172	NC1=NC=NC2=C1C=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB03173	NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(OC2CCCC2)=C1[O-]
DB03174	OP(O)(=O)CC=O
DB03175	CCCO
DB03176	CC(C)C1=CC(OC2=C(Cl)C=C(CC(O)=O)C=C2Cl)=CC=C1O
DB03177	CC1=CC2=C(C=C1)N=CN2
DB03178	[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](CO)[C@@]2([H])O[P@](O)(=S)O[C@@]12[H]
DB03179	COC1=CC(\C=C\C(=O)SCCNC(=O)CCNC(=O)C2(O)[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@@H](O)[C@@H]3OP(O)(O)=O)N3C=NC4=C(N)N=CN=C34)C2(C)C)=CC(OC)=C1O
DB03180	CC1=CC(N)=C(N)C=C1C
DB03181	CC(C)C1=CC(OC2=C(C)C=C(C=C2C)N2N=CC(=O)NC2=O)=CC=C1O
DB03182	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CC[C@@H](F)C(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03183	CCOC(=O)C1=C(C)N(N=C1C)C1=CC=C(N)C=C1
DB03186	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4C[C@@H](O[C@@H]4COP(O)(O)=O)N4C=CC(=O)N([H])C4=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03187	[H][C@](CCCCC(O)=O)(CCSCN)SSCCO
DB03189	[Cu].C1CNCCNCCCNCCNC1
DB03190	[H][C@]1(COC(=O)CCCCCCC)O[C@@](CO)(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@@]([H])(O)[C@]1([H])O
DB03191	[H][C@](N)(C[C@@]1([H])CO1)C(O)=O
DB03192	CCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB03194	CO[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O
DB03195	CC1=CN([C@H]2C[C@H](F)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
DB03196	[H][C@@]1(CO)O[C@@]([H])(OC2=CC=C(C=C2)[N+]([O-])=O)[C@]([H])(O)[C@@]1([H])O
DB03197	NC1=NC(=O)C2=NC(CO)=CN=C2N1
DB03198	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]4([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]5([H])O[C@]([H])(CO)[C@@]([H])(S[C@@]6([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]6([H])O)[C@]([H])(O)[C@@]5([H])O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB03199	[H][C@@]1(C[C@]([H])(N(C)C)[C@]([H])(O)[C@]([H])(C)O1)O[C@@]1([H])C[C@](O)(CC)[C@]([H])(C(=O)OC)C2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1OC)C3=O
DB03200	[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=NC=NC=C23)[C@]([H])(O)[C@]1([H])O
DB03201	N[C@H](CS)C(O)=O
DB03202	[H][C@](NC(=O)CN1C(=O)C(NS(C)(=O)=O)=CN=C1C1=CC=C(N)C=C1)(C(C)C)C(=O)C(F)(F)F
DB03203	[H]\C(CCCCCCCCCCCCC)=C(\[H])[C@@]([H])(O)[C@@]([H])(N)CO
DB03205	OC(=O)C1=CC2=C(N1)C1=C(N=C(C=C1C(O)=O)C(O)=O)C(=O)C2=O
DB03206	OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
DB03207	[H][C@@]1(CC2=C(CN1S(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C=CC=C2)C(O)=O
DB03210	NC1=CC=C(CCC(O)=O)C=C1
DB03211	OP(O)(=O)CCC(=C)C=O
DB03212	[H][C@](O)(C[C@]([H])(O)[C@@]([H])(O)C([O-])=O)C([O-])=O
DB03213	NC(=N)C1=CC2=C(C=C1)N=C(N2)C(=O)C1=NC2=C(N1)C=CC(=C2)C([NH3+])=[NH2+]
DB03214	N[C@@H](C=C)C(O)=O
DB03215	[H][C@@]1(CC(O)=O)CC[C@]([H])(N1)C(O)=O
DB03216	NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O
DB03217	[H][C@@](O)(C1=CC=CC2=CC=CC=C12)P(O)(O)=O
DB03218	CC(=O)NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB03219	[H][C@]1(O)C[C@]([H])(O[C@]2([H])[C@]([H])(C)O[C@]([H])(C[C@]2([H])N(C)C)O[C@@]2([H])C[C@](O)(CC)[C@]([H])(O)C3=C2C(O)=C2C(=O)C4=C(C=CC=C4O)C(=O)C2=C3)O[C@@]([H])(C)[C@]1([H])O[C@@]1([H])CCC(=O)[C@@]([H])(C)O1
DB03220	C[C@H](O)[C@@H](CCC1=C2C=CC=CC2=CC=C1)N1C=NC(=C1)C(N)=O
DB03221	CN[C@@H]1CN(C2=CC(OC)=CC=C2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DB03222	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
DB03223	C[N+](C)(C)[C@@H](CCC1=NC(C[C@H](N)C(O)=O)=CN1)C(N)=O
DB03224	[Fe+4].[H]\C(O)=C1/C(C)=C2[N-]/C/1=C([H])\C1=C(C)[C@@]([H])(C=C)\C([N-]1)=C([H])\C1=C(C)C(CCC(O)=O)=C([N-]1)\C([H])=C1/[N-]/C(=C\2/[H])C(C)=C1CCC(O)=O
DB03225	N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O
DB03226	OCC(F)(F)F
DB03227	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](COP(O)(O)=O)[C@H](O)[C@H]1O
DB03228	NC(=O)C1=C(C=C(C(=C1)N(CCCl)CCCl)[N+]([O-])=O)[N+]([O-])=O
DB03229	CC(C)CC(=O)C(O)=O
DB03230	[H][C@]1(COP(O)(=O)OCCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03231	[H]N([H])C1=NC(=O)C2=NN(N([H])C2=N1)C1=CC=CC(=C1)C(=O)N([H])CC1=CC=CC=C1SC1=CC=CC=C1CO
DB03232	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=CC=CC=C1O
DB03233	[H]N([H])[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=C(C)C(=O)N([H])C1=O
DB03234	CN(CC=C)CC1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(Br)C=C1
DB03235	[H]N([H])CCCN1CCN(CCCN([H])C(=O)C2=CC(=CC(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)=C2)[N+]([O-])=O)CC1
DB03237	O[C@@H](CC(=O)C([O-])=O)[C@@H](O)C([O-])=O
DB03238	NC1=CC(F)=CC(F)=C1
DB03240	N[C@@H](CN1C2=C(CCC2)C(=O)NC1=O)C(O)=O
DB03241	[H][C@](N)(CCCC)C=O
DB03242	[H][C@]1(CO)O[C@]([H])(OC2=CC=C(N)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
DB03243	[NH3+]CC1=CC=C(F)C=C1
DB03245	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSC(=O)CCC[N+]([O-])=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03246	OC[C@@H]1O[C@H](O)[C@H](O)[C@H]1O
DB03248	CC[C@@H](OP(O)(O)=O)C(O)=O
DB03250	[H][C@]1(CO)O[C@@]([H])(C2=NC3=CC(C)=CC=C3S2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB03251	[H]N([H])C(=NCCC[C@H](N([H])C(=O)C1CCCC1)C(=O)C1=NC2=CC=CC=C2S1)N([H])[H]
DB03252	NCCCC[C@@H](N)C(O)=O
DB03253	NC[C@@H]1CCCN1
DB03254	N1C=NC=C1C1=CC=CC=C1
DB03255	OC1=CC=CC=C1
DB03256	[H]N([H])C1=NC(=O)C2=C(N([H])C[C@@H](CN([H])C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1[H]
DB03257	[H][C@@](CC(C)C)(NC(C)=O)[C@]1([H])O[C@]([H])(C[C@@]1([H])C(=O)OC)C(O)=O
DB03258	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
DB03259	OC1=CC=CC(=C1O)C1=C(Cl)C=CC=C1Cl
DB03260	NCCCCCCN
DB03262	NS(=O)(=O)C1=CC2=C(S1)S(=O)(=O)N(C(CN1CCOCC1)=C2)C1=CC(O)=CC=C1
DB03264	CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
DB03267	CCCCN1C2=C(NC(CC3=CC=C(NC(C)=O)C=C3)=N2)C(=O)N(CC=C)C1=O
DB03268	CC(=O)N[C@@H](CC1=CC(C=O)=C(C=C1)C(O)=O)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O
DB03270	NS(=O)(=O)C1=C(F)C=CC=C1F
DB03273	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)C1=O
DB03274	[H]N1C(=O)C=CN([C@H]2C[C@H](O)[C@@H](C)O2)C1=O
DB03276	NC(=O)C[C@@H]1NC(=O)C2(CCCCC2)NC(=O)C[C@H](\C=C\C[C@H](CNC1=O)CC1=CC=CC2=CC=CC=C12)C1=CC=C(C=C1)CP(O)(O)=O
DB03277	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB03278	OC[C@H](O)[C@@H](O)CO
DB03279	[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(OCCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O
DB03280	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H](C[C@@H]4O)N4C=C(C)C(=O)N([H])C4=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB03283	C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
DB03284	[H][C@]1(O)COC(=C[C@]1([H])O)C(O)=O
DB03286	[H]C(N)(O)[C@]1(O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O)N=[N+]=[N-]
DB03289	[H][C@](N)(CS[As](O)O)C(O)=O
DB03290	CC(=O)N[C@@H](CC1=CC=CC2=CC=CC=C12)[B-](O)(O)OC[C@H](N)C(O)=O
DB03292	[H][C@@](N)(CP(O)(O)=O)C(O)=O
DB03294	CN1SC(=O)C2=CC(=CC=C12)S(N)(=O)=O
DB03296	[H]N([C@@H]1[C@@H](O)C[C@@](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@@H]2O)(O[C@@]1([H])[C@H](O)[C@H](O)CO)C(O)=O)C(C)=O
DB03297	OS(=O)(=O)CC1=CC=CC=C1
DB03298	OP(O)(=O)OC1=CC=CC=C1
DB03299	[H][C@](NC(=O)CCC(O)=O)(C(O)=O)C1=CC=CC=C1
DB03300	[H][C@]12NC3=C(N[C@@]1([H])C(S)=C(S)[C@@H](COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)O2)C(=O)NC(N)=N3
DB03301	CC1=CC=CC(CC=C)=C1O
DB03304	NCC1=CNC2=C1C(=O)NC(N)=N2
DB03305	CC(=N)NCCC[C@H](N)C(O)=O
DB03306	COC1=CC=CC(C=O)=C1OP(O)(O)=O
DB03307	NC1=NC=NC(NC2=CC=C(C=C2)S(N)(=O)=O)=C1
DB03308	CC(C)C[C@H](N)C(=O)NO
DB03309	OS(=O)(=O)CCNC1CCCCC1
DB03310	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
DB03311	CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=C(C=C2)S(=O)(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
DB03312	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O
DB03313	[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
DB03314	N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O
DB03315	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]2O)C(=O)N1
DB03316	C1COCCO1
DB03317	CC(S)C1=C2C=C3C(C)=C(C(C)S)C4=[N+]3[Fe--]35N6C(=C4)C(C)=C(CCC(O)=O)C6=CC4=[N+]3C(=CC(N25)=C1C)C(C)=C4CCC(O)=O
DB03319	[H][C@](N)(CC1=C(ON=C1[O-])C(C)(C)C)C(O)=O
DB03320	N[C@@H](C[NH3+])C(O)=O
DB03321	[H][C@]1(OC(=C[C@H](N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
DB03323	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
DB03325	[H]N([H])[C@@H](CC1=CC=C(O)C=C1)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H]
DB03326	NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OC2CC(OC2CO)N2C=CC(N)=NC2=O)O1
DB03327	[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)P(O)(O)=O
DB03328	S[Mo](=O)=O
DB03329	SC1=NC=CC=C1
DB03330	N[C@@H](CCC(=O)N[C@@H](CS[C@@H](O)N(O)C1=CC=C(I)C=C1)C(=O)NCC(O)=O)C(O)=O
DB03331	[H]N(CC1=CC=CC2=CC=CC=C12)C1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3N([H])C(=O)C3=CC(OC)=CC(OC)=C3)C2=NC=N1
DB03332	NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1
DB03333	NS(=O)(=O)C1=CC=C(NC(=S)OCCC2=CSC=C2)C=C1
DB03335	C[C@H](O)CBr
DB03336	OC1=CC(=CC(=C1O)[N+]([O-])=O)C(=O)CCN1CCN(CC1)C1=CC(=CC=C1)C(F)(F)F
DB03337	NC(=N)C1=CC=C(NC(=O)NC2=CC=C(OC3=CC=CC=C3)C=C2)C=C1
DB03338	CCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB03340	[H][C@@](C)(CP(O)(=O)[C@@]([H])(N)CC(O)=O)C(O)=O
DB03341	[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)N([H])CCC4=CN([H])C5=C4C=C(Br)C=C5)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
DB03342	CC(=O)NC1=CC=C(C=C1NC(N)N)C(O)=O
DB03343	O[C@H](\C=C(/O)[O-])C([O-])=O
DB03344	[H][C@]1(O)[C@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@]([H])(OP(O)(O)=O)[C@@]1([H])OP(O)(O)=O
DB03345	OCCS
DB03347	CCOP(=O)(OCC)OCC
DB03348	[H][C@]12CCCN[C@]11CC(C)=C[C@H]2CC2=C1C=CC(=O)N2
DB03349	[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03350	[NH3+][Co-3]([NH3+])([NH3+])([NH3+])([NH3+])[NH3+]
DB03351	CC1=C(CNC2=CC=CC3=NC=CC=C23)C=NC2=NC(N)=NC(N)=C12
DB03352	N[C@@H](CS[As](O)(O)=O)C(O)=O
DB03353	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])N=C(N)N2
DB03354	[H][C@]1(CO)O[C@@]([H])(C2=NN=C(C)O2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB03355	[H]N([H])[C@@H]([C@@H](C)O)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H]
DB03357	O[C@H](C(O)=O)C1=CC=CC=C1
DB03358	[H]N([H])C1=NC(=O)C2=C(N1[H])N(CN2C)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB03359	C[N+](C)(C)C1=CC=CC(=C1)C(O)(O)C(F)(F)F
DB03360	[H][C@]1(CCCN1C(C)=O)C(O)=O
DB03361	[H][C@@](C)(O)[C@]12NC3=NC(C)=NC=C3CN1C(C)=C(CCOP(O)(=O)OP(O)(O)=O)S2
DB03363	[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(C)=O)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03364	CSCC[C@@H](NC(N)=O)C(O)=O
DB03365	COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC
DB03366	N1C=CN=C1
DB03367	[H][C@](CC(O)=O)(NC(=O)C1=CC(=CS1)C1=CC=C(C=C1)C1=CC=NC=C1)C1=CC=CC=C1
DB03368	CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
DB03369	NC1=CC2=CC=CC=C2C2=CC=CC=C12
DB03370	[H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC(Cl)=C1Cl)N1C=NC(=C1)C(N)=O
DB03371	[H][C@](N)(CCC(=O)O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]1(O)F)C(O)=O
DB03372	SCCC(=O)N1CCC2=C(C1)NC1=C2C=CC=C1
DB03373	[H]N=C(C)N1CCC(CC1)OC1=CC2=C(C=C1)N=C(C)N2CC1=CC2=C(C=C1)C=CC(=C2)C(N)=[NH2+]
DB03374	[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O
DB03376	[H]N([H])[C@@H](C)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H]
DB03379	OC(=O)CCP(O)(O)=O
DB03380	[H][C@](N)(CC1=CC=C(O)C=C1)C(N)=O
DB03381	CCCCCCCCCCCCCCCC=O
DB03382	[H]S(=O)C[C@H](N)C(O)=O
DB03383	OC1CCN(CC1)C(=O)[C@H](CC1=CC=C(F)C=C1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2
DB03384	FC1=CC2=C(NC(=C2)C(=O)NCCS)C=C1
DB03385	CC1=CNC=N1
DB03388	CC(C)N(C(=O)C1=C(Cl)C=C(Cl)C=C1)C1=C(SC(=C1)C1=CC=CC=C1)C(O)=O
DB03389	O[C@@H]1CO[C@H](O)[C@H](O)[C@H]1O
DB03390	[H]N(CCC)C(=O)[C@H](O)[C@@H](O)C(O)=O
DB03392	[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(NP(=O)(OC)OC)[C@]1([H])O
DB03393	[H][C@@]12CCCN(N1)C(=O)[C@H](CC1=CC(O)=CC=C1)NC(=O)[C@@H](NC(=O)[C@H](CCC(C)=O)[C@H](O)[C@@H](C)[C@@H](O)\C=C\C=C\C[C@H](OC2=O)C(\C)=C\C=C\CC[C@H](C)[C@@H](O)C[C@@H]1O[C@@]2(NC(=O)[C@@H](CC)C[C@@H]2C)[C@@H](C)[C@@H](O)[C@H]1C)C(C)C
DB03394	OCCOCCOCCOCCOCCOCCOCCO
DB03395	COC1=CC=C(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)C=C1
DB03396	[H]N([C@H]1CC[C@@H](O)CN([H])C1=O)C(=O)[C@H](OC)[C@H](O)[C@@H](O)[C@H](O)\C=C\C(C)(C)C
DB03397	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
DB03399	CC[N+]#C
DB03400	CC1=CC=C(CCC(O)=O)C=C1
DB03401	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
DB03403	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB03405	[H]N([C@@H](CC(C)C)C(=O)N([H])[C@@H]1CN(CC1=O)C(=O)[C@H](CC(C)C)N([H])C(=O)OCC1=CC=CC=C1)C(=O)OCC1=CC=CC=C1
DB03408	N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O
DB03410	OC1=CC(=O)OC2=CC=CC=C12
DB03411	OC[C@@H]1NC[C@H](O)[C@H]1O
DB03412	N[C@@H](CCCCO)C(O)=O
DB03413	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
DB03414	[H][C@]1(N)S[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])O
DB03415	CCCCCSCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DB03416	CC1=C(CCO[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
DB03417	[H]N([H])C(=NCCC[C@@H](C=O)[C@H](N([H])C(=O)N1CCN(CC1)C(=O)N([H])C(C)(C)C)C(O)=O)N([H])[H]
DB03419	O=C1NC=CC(=O)N1
DB03420	[H][C@]1(O[C@H](C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
DB03421	O=C1NN(CCC2=CC=CC=C2)C(=O)C2=C1C=CC=C2
DB03423	[H][C@](N)(CC[Se]C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(O)=O
DB03424	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O
DB03425	[H][C@@](C)(C[C@]([H])(N)C(O)=O)C([O-])=O
DB03428	COC1=CC=C2NC(=O)\C(=C/C3=CN=CN3)C2=C1
DB03429	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)COP(O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
DB03430	O[C@H](C#N)C1=CC=C(O)C=C1
DB03433	C[C@H](CNCC1=C(O)C(C)=NC=C1COP(O)(O)=O)OP(O)(O)=O
DB03434	OS(=O)(=O)CCCN1CCOCC1
DB03435	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
DB03436	[Ga+3].CC(=O)N([O-])CCC[C@H]1\N=C(O)\C\N=C(O)\[C@H](CO)\N=C(O)\C\N=C(O)\[C@H](CCCN([O-])C(C)=O)\N=C(O)\C(CCCN([O-])C(C)=O)\N=C1/O
DB03437	[H]N([H])C1=NC(=CS1)C(=N\OC)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SC(C)(C)[C@@H](N1[H])C(O)=O
DB03440	CCCCCCCCCCCCCCCC(=O)NCC(O)=O
DB03441	[H][C@@](CI)(CC1=CC=CC=C1)C(O)=O
DB03442	CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=C(C)C=C(C=C1)S(O)(=O)=O
DB03443	NC(N)C1=CC2=C(C=C1)[N+]1=C(N2)C(=O)C2=[N+]([Zn]1)C1=C(N2)C=C(C=C1)C(N)N
